,map_trx_state,map__trx_dist,map_trx_years,map_trx_qtr,map_trx_amount,map_trx_count
262,arunachal pradesh,kra daadi ,2023,3,146211703.0,64924
263,arunachal pradesh,hanglang ,2023,3,1216076703.0,712587
264,arunachal pradesh,pakke kessang ,2023,3,54219594.0,39091
265,arunachal pradesh,bang valley ,2023,3,53416276.0,12694
266,arunachal pradesh,west kameng ,2023,3,1923965574.0,1036743
267,arunachal pradesh,hi yomi ,2023,3,79871837.0,15854
268,arunachal pradesh,east siang ,2023,3,1247686937.0,810283
269,arunachal pradesh,upper subansiri ,2023,3,724981091.0,281370
270,arunachal pradesh,east kameng ,2023,3,488197907.0,259522
271,arunachal pradesh,lohit ,2023,3,1048609233.0,700473
272,arunachal pradesh,lepa rada ,2023,3,253727652.0,140239
273,arunachal pradesh,awang ,2023,3,1199412955.0,423923
274,arunachal pradesh,namsai ,2023,3,654108287.0,477310
275,arunachal pradesh,lower dibang valley ,2023,2,641502543.0,320847
276,arunachal pradesh,lower subansiri ,2023,2,689315626.0,341107
277,arunachal pradesh,longding ,2023,2,285288333.0,130522
278,arunachal pradesh,west siang ,2023,2,970914462.0,450143
279,arunachal pradesh,kamle ,2023,2,106363865.0,55865
280,arunachal pradesh,upper siang ,2023,2,301652672.0,128805
281,arunachal pradesh,ap ,2023,2,446804515.0,200783
282,arunachal pradesh,papum pare ,2023,2,7148674913.0,4245307
283,arunachal pradesh,kurung kumey ,2023,2,97669815.0,31722
284,arunachal pradesh,anjaw ,2023,2,151922212.0,56827
285,arunachal pradesh,ang ,2023,2,227425026.0,105020
286,arunachal pradesh,lower siang ,2023,2,218937621.0,111333
287,arunachal pradesh,kra daadi ,2023,2,134813823.0,47120
288,arunachal pradesh,hanglang ,2023,2,1260077796.0,615184
289,arunachal pradesh,pakke kessang ,2023,2,58620893.0,34356
290,arunachal pradesh,bang valley ,2023,2,39137344.0,8132
291,arunachal pradesh,west kameng ,2023,2,1803248166.0,870033
292,arunachal pradesh,hi yomi ,2023,2,63767934.0,10945
293,arunachal pradesh,east siang ,2023,2,1177576754.0,689624
294,arunachal pradesh,upper subansiri ,2023,2,680733513.0,246349
295,arunachal pradesh,east kameng ,2023,2,450768238.0,200350
296,arunachal pradesh,lohit ,2023,2,984621672.0,592587
297,arunachal pradesh,lepa rada ,2023,2,242626097.0,118411
298,arunachal pradesh,awang ,2023,2,1003663723.0,339605
299,arunachal pradesh,namsai ,2023,2,619571108.0,409511
300,arunachal pradesh,lower dibang valley ,2022,4,308329533.63406837,137218
301,arunachal pradesh,lower subansiri ,2022,4,339443886.23657525,143172
302,arunachal pradesh,longding ,2022,4,151727225.22689673,63481
303,arunachal pradesh,west siang ,2022,4,449302139.4960692,176377
304,arunachal pradesh,kamle ,2022,4,54695370.469332285,22093
305,arunachal pradesh,upper siang ,2022,4,174436476.513136,61031
306,arunachal pradesh,ap ,2022,4,205933250.0190781,88024
307,arunachal pradesh,papum pare ,2022,4,3401999228.9392605,1917365
308,arunachal pradesh,kurung kumey ,2022,4,55991360.89182171,14780
309,arunachal pradesh,anjaw ,2022,4,86691809.7433357,31170
310,arunachal pradesh,ang ,2022,4,124012661.78071377,46250
311,arunachal pradesh,lower siang ,2022,4,111700711.05104405,50212
312,arunachal pradesh,kra daadi ,2022,4,69295211.52201861,19724
313,arunachal pradesh,hanglang ,2022,4,572195646.772961,254818
314,arunachal pradesh,pakke kessang ,2022,4,28806042.8090343,15377
315,arunachal pradesh,bang valley ,2022,4,17938501.796178654,3440
316,arunachal pradesh,west kameng ,2022,4,954522716.7333797,421418
317,arunachal pradesh,hi yomi ,2022,4,33977040.52287009,4926
318,arunachal pradesh,east siang ,2022,4,623525449.463265,327737
319,arunachal pradesh,upper subansiri ,2022,4,285077053.9982841,93017
320,arunachal pradesh,east kameng ,2022,4,178064501.28067553,68774
321,arunachal pradesh,lohit ,2022,4,503661703.8315097,276551
322,arunachal pradesh,lepa rada ,2022,4,127294274.35791278,51416
323,arunachal pradesh,awang ,2022,4,518332824.89263654,155419
324,arunachal pradesh,namsai ,2022,4,307955075.5201911,188919
325,arunachal pradesh,lower dibang valley ,2022,1,235243185.52128848,83531
326,arunachal pradesh,lower subansiri ,2022,1,239825149.91154164,73100
327,arunachal pradesh,longding ,2022,1,138915391.14290744,43533
328,arunachal pradesh,west siang ,2022,1,315562272.5888671,92331
329,arunachal pradesh,kamle ,2022,1,39224415.796201825,11978
330,arunachal pradesh,upper siang ,2022,1,156487414.60212946,43428
331,arunachal pradesh,ap ,2022,1,181768733.7198426,59514
332,arunachal pradesh,papum pare ,2022,1,2909248438.629796,1163726
333,arunachal pradesh,kurung kumey ,2022,1,46127063.32319221,10401
334,arunachal pradesh,anjaw ,2022,1,70149358.0827275,21058
335,arunachal pradesh,ang ,2022,1,80549877.87323424,23793
336,arunachal pradesh,lower siang ,2022,1,80036191.45641762,29595
337,arunachal pradesh,kra daadi ,2022,1,54761962.54116271,14110
338,arunachal pradesh,hanglang ,2022,1,490549428.7793704,171494
339,arunachal pradesh,pakke kessang ,2022,1,26463907.43466976,8817
340,arunachal pradesh,bang valley ,2022,1,15694666.656907387,2927
341,arunachal pradesh,west kameng ,2022,1,705607894.004217,240672
342,arunachal pradesh,hi yomi ,2022,1,19772208.730185587,2903
343,arunachal pradesh,east siang ,2022,1,501600929.04419017,201945
344,arunachal pradesh,upper subansiri ,2022,1,250527144.28565046,61408
345,arunachal pradesh,east kameng ,2022,1,157804149.97029108,36452
346,arunachal pradesh,lohit ,2022,1,393361044.4830233,169954
347,arunachal pradesh,lepa rada ,2022,1,116144345.41984761,33504
348,arunachal pradesh,awang ,2022,1,346661566.51465106,86721
349,arunachal pradesh,namsai ,2022,1,256004887.5750422,117173
350,arunachal pradesh,lower dibang valley ,2022,3,273001216.6677967,112848
351,arunachal pradesh,lower subansiri ,2022,3,285712248.1429684,109261
352,arunachal pradesh,longding ,2022,3,154461013.00605297,57360
353,arunachal pradesh,west siang ,2022,3,395192937.9954808,136332
354,arunachal pradesh,kamle ,2022,3,40508790.17987645,16300
355,arunachal pradesh,upper siang ,2022,3,160298876.32394755,51285
356,arunachal pradesh,ap ,2022,3,216482194.52850336,79206
357,arunachal pradesh,papum pare ,2022,3,3211809407.131925,1651143
358,arunachal pradesh,kurung kumey ,2022,3,54808629.689540036,12677
359,arunachal pradesh,anjaw ,2022,3,104784905.2209255,32452
360,arunachal pradesh,ang ,2022,3,91702284.02541924,34204
361,arunachal pradesh,lower siang ,2022,3,85746020.38579762,38480
362,arunachal pradesh,kra daadi ,2022,3,59014513.91034414,15939
363,arunachal pradesh,hanglang ,2022,3,492535245.0550784,216609
